role,normalized_role
direttor of the school,program director
direttore,director
direttore associato,program director
direttore collegio dei docenti,director
direttore d'indirizzo,program director
direttore del corso,program director
direttore del corso di dottorato,program director
direttore del corso di dottorato di ricerca,research director
direttore del dipartimento,program director
direttore del dottorato,program director
direttore del dottorato di ricerca,research director
direttore del dottorato in neuroscienze,program director
direttore del progetto di ricerca,research director
direttore del programma,program director
direttore del programma di dottorato,program director
direttore del programma di ricerca,research director
direttore dela scuola,program director
direttore dell'indirizzo,program director
direttore dell'istituto d'igiene,program director
direttore della formazione dottorale,doctoral training director
direttore della ricerca,director
direttore della scuola,director
direttore della scuola del dottorato,program director
direttore della scuola di dottorato,director
direttore della scuola di dottorato di ricerca del 25. ciclo,research director
direttore della scuola di dottorato di ricerca in neuroscienze e scienze endocrinometaboliche,research director
direttore della scuola di dottorato e tutor,tutor
direttore della scuola di dottorato ess,program director
direttore della scuola di dottorato in informatica,program director
direttore della scuola e coordinatore d'indirizzo,coordinator
direttore della scuola e coordinatore di indirizzo,coordinator
direttore della scuola e tutor,tutor
direttore della scuola stms,program director
direttore della tesi,program director
direttore dells scuola,program director
direttore di ricerca,director
direttore di tesi,director
direttore di tesi estero,program director
direttore di tesi francese,program director
direttore di tesi in francia,program director
direttore di tesi in italia,program director
direttore di tesi/directeur de thèse,program director
direttore dipartimento,program director
direttore dottorato,program director
direttore dottorato di ricerca,research director
direttore e coordinatore,coordinator
direttore e coordinatore della scuola,coordinator
direttore e coordinatore della scuola di dottorato,coordinator
direttore e tutor,tutor
direttore e tutore,tutor
direttore istituto di igiene,director
direttore programma,program director
direttore relatore,supervisor
direttore scientifico,program director
direttore scientifico della ricerca,research director
direttore scuola,program director
direttore scuola di dottorato,program director
direttore scuola di dottorato in neuroscienze,program director
direttore scuola dottorato,program director
direttore-coordinatore della scuola di dottorato,coordinator
direttore/coordinatore,coordinator
direttori,program director
direttori dei dottorati,program director
direttori della ricerca,research director
direttori della tesi,program director
direttori delle scuole di dottorato,program director
direttori di ricerca,research director
direttori di ricerca/directeurs de thèse,research director
direttori di tesi,program director
direttori di tesi = directeurs de thèse,program director
direttori di tesi in austria,program director
direttori di tesi/directeurs de thèse,program director
direttori scientifici,program director
direttrice,contributor
direttrice de l'ecole doctorale,contributor
direttrice della ricerca,contributor
direttrice della scuola,institution
direttrice di tesi,thesis info
direttrici,director
direttrici di ricerca,contributor
direzione,contributor
direzione della tesi,thesis info
direzione scientifica,contributor
dirigee,supervisor
dirigèe,director
dirigée par,contributor
discussant,discussant
dissertation advisor,advisor
dissertation advisors,advisor
dissertation commitee,contributor
dissertation committee,committee
dissertation supervisor,supervisor
dissertation supervisors,supervisor
docente,professor
docente affidatario,assigned professor
docente co-tutor,co-tutor
docente co-tutore,co-tutor
docente coordinatore,coordinator
docente coordinatore corso dottorato,coordinator
docente coordinatore del corso,coordinator
docente correlatore,co-supervisor
docente cotutor,co-tutor
docente cotutore,co-tutor
docente di riferimento,reference professor
docente di sostegno,professor
docente di supporto,supervisor
docente guda,professor
docente guida,supervisor
docente guida e coordinatore,coordinator
docente guida e coordinatore del corso,coordinator
docente guida e coordinatore del dottorato,coordinator
docente guida e coordinatore del dottorato di ricerca,coordinator
docente guida esterno,external supervisor
docente guida interno,internal supervisor
"docente guida, francia/directeur de thèse, france",director
"docente guida, italia/directeur de thèse, italie",director
docente guida-tutor,tutor
docente relatore,supervisor
docente responsabile,program director
docente sostituto,professor
docente supervisor,supervisor
docente supervisore,supervisor
docente supervisorre,supervisor
docente tutor,tutor
docente tutor e coordinatore di dottorato,coordinator
docente tutore,tutor
docente tutore e coordinatore del dottorato,coordinator
docente-guida,supervisor
docente-tutore,tutor
docenti,professor
docenti di riferimento,reference professor
docenti di sostegno,professor
docenti di supporto,support professor
docenti esaminatori,supervisor
docenti guida,supervisor
docenti supervisori,supervisor
docenti tutor,tutor
docenti tutore,tutor
docenti tutores,tutor
docenti tutori,tutor
doctoral advisor,advisor
doctoral candidate,candidate
doctoral committee,committee member
doctoral coordinator,coordinator
doctoral course coordinator,coordinator
doctoral examination committee,committee
doctoral program coordinator,coordinator
doctoral program director,program director
doctoral programme coordinator,coordinator
doctoral school coordinator,coordinator
doctoral school director,program director
doctoral student,phd student
doctoral studies co-ordinator,coordinator
doctoral studies coordinator,coordinator
doctoral supervisor,supervisor
doctorande,phd student
doctorant,contributor
doctorate advisor,advisor
doctorate co-ordinator,coordinator
doctorate coordinator,coordinator
doctorate coordinator and school president,coordinator
doctorate course co-ordinator,coordinator
doctorate course coordinator,coordinator
doctorate course director,program director
doctorate director,program director
doctorate guide,contributor
doctorate school director,program director
doctorate student,phd student
doctorate tutor,tutor
doottoranda,contributor
dos,program director
dos francese,program director
dos italiano,program director
dotorando di ricerca,phd student
dott.,doctor
dott.nda,contributor
dott.ssa,doctor
dottoranda,contributor
dottoranda 17. ciclo,phd student
dottoranda di ricerca,phd student
dottorando,contributor
dottorando di ricerca,contributor
dottorando di ricerca di,phd student
dottorando0,phd student
dottorano,phd student
dottorano/a,phd student
dottorato,contributor
dottorato di ricerca,contributor
dottore di ricerca,contributor
dottoressa,contributor
dottornada,phd student
dottorndo,phd student
dottotando,phd student
dottotranda,phd student
dottrando,phd student
dottssa,doctor
dotttorando,phd student
dr. claudio semini (dynamic legged systems lab - istituto italiano di tecnologia) prof. darwin g. caldwell (advanced robotics department - istituto italiano di tecnologia) co-tutor,co-tutor
délegué aux thèses,contributor
earth sciences program chairman,program director
"electronics department, télécom-bretagne, brest, france , tutors",tutor
encadrants,supervisor
encardeurs,supervisor
erste gutachter,contributor
erste(r) referent(in),referent
esaminatore esterno,external examiner
esaminatori,examiner
esaminatori esterni,contributor
esaminatrice,examiners
eseguito presso,contributor
esperti esterni,contributor
esperto,contributor
ess director,program director
esterni,contributor
european ph.d. co-supervisor,co-supervisor
evaluators,evaluator
eventuale correlatore (co-tutor),co-tutor
eventuale correlatore co-tutor,co-tutor
examinateur,contributor
examinateurs,contributor
examination commitee,contributor
examination committee,committee
examiner,examiner
examiners,examiners
examinerʼs,examiner
ext. reviewers,referee
external adivisor,contributor
external advisor,advisor
external advisors,advisor
external co-supervisor,co-supervisor
external cosupervisor,co-supervisor
external evaluators,external evaluator
external examiner,external examiner
external examiners,external examiner
external member,committee member
external phd advisor,phd student
external referee,external referee
external referees,external referee
external representative,contributor
external reviewer,external referee
external reviewers,external referee
external supervisor,external supervisor
external supervisors,external supervisor
external supervisr,external supervisor
external tutor,external tutor
external tutor (insa de lyon),external tutor
external tutors,external tutor
extrenal advisor,advisor
f. vigano’；coordinatore,coordinator
faculty advisor,professor
faculty mentors,institution
faculty opponent,referee
firm tutor,tutor
first reader,referee
first supervisor,supervisor
foreign supervisor,supervisor
foreign tutor,external tutor
foreign tutor-first revisor,tutor
french director,program director
french principle adviser,advisor
french scientific coordinator,coordinator
french supervisor,supervisor
french tutor,tutor
gabriele corsani - co.tutor,tutor
graduate advisor,advisor
graduate civil engineer,contributor
graduate group chair,program director
graduate school coordinator,coordinator
graduate student,phd student
graduate supervisior,graduate supervisor
gsk vaccines s.r.l. supervisor,supervisor
gsk vaccines s.r.l. tutor,tutor
guidance,supervisor
guiding professor,professor
günter figal (freiburg im breisgau),contributor
head,program director
head of department,program director
head of doctorate programme,program director
head of ph. d. board,program director
head of ph. d. course,program director
head of phd program,program director
head of phd programm,program director
head of phd programme,program director
head of research,research director
head of the doctoral course,program director
head of the doctoral program,program director
head of the doctoral programme,program director
head of the doctoral school,program director
head of the graduate school,program director
head of the ph. d. course in chemical sciences,program director
head of the ph. d. program,program director
head of the ph. d. program in water and territory management engineering,program director
head of the ph. d. programme in geotechnical engineering,program director
head of the ph. d. programme in structural and geotecnical engineering,program director
head of the ph.d. programme in geotechnical engineering,program director
head of the ph.d. programme in water and territory management engineering,program director
head of the phd course,program director
head of the phd program,program director
head of the phd programme in geotechnical engineering,contributor
head of the research doctorate programme in geotechnical engineering,research director
head of the school,program director
head pf phd course,program director
headmaster of the ph.d. school,program director
headmaster of the phd. school,program director
heads of the phd board,program director
host supervisor,supervisor
host tutor,tutor
i coordinatori,coordinator
i correlatori,supervisor
i docenti di sostegno,professor
i relatori,supervisor
i supervisori,supervisor
i tutor,tutor
i tutori,tutor
i tutors,tutor
ibim cnr tutore,tutor
ict doctorate school dean,institution
ii advisor,advisor
ii tutor,tutor
iindustrial co-tutor,co-tutor
il candidato,candidate
il ccordinatore,contributor
il ccordinatore del dottorato,contributor
il co-tutor,co-tutor
il co-tutore,co-tutor
il controrelatore,co-examiner
il cooordinatore,contributor
il coordiantore del dottorato,coordinator
il coordinatore,coordinator
il coordinatore dei corsi di dottorato,coordinator
il coordinatore dei corsi di dottorato e tutore,coordinator
il coordinatore del 15. ciclo,coordinator
il coordinatore del collegio dei docenti del dottorato di ricerca in ingegneria industriale,coordinator
il coordinatore del collegio di dottorato,coordinator
il coordinatore del collegio docenti,coordinator
il coordinatore del corso,coordinator
il coordinatore del corso di dottorato,coordinator
il coordinatore del d.r.c.a.,coordinator
il coordinatore del dottorato,coordinator
il coordinatore del dottorato di ricerca,coordinator
il coordinatore del dottorato di ricerca biologia cellulare biologia cellulare e dello sviluppo,coordinator
il coordinatore del dottorato di ricerca in biologia e biotecnologie,coordinator
il coordinatore del dottorato di ricerca in italianistica,coordinator
il coordinatore del dottorato di ricerca in matematica,coordinator
il coordinatore del dottorato di ricerca in statistica computazionale ed applicazioni,coordinator
il coordinatore del dottorato di ricerca in tecnologie dell'informazione,coordinator
il coordinatore del dottorato di ricerca tecnologie dell'informazione,coordinator
il coordinatore del dottorato in scienze della terra,coordinator
il coordinatore del drca,coordinator
il coordinatore della scuola di dottorato,coordinator
il coordinatore di dottorato,coordinator
il coordinatore di ricerca,coordinator
il coordinatore di ricerca in italianistica,coordinator
il coordinatore e relatore,coordinator
il coordinatore e tutor,coordinator
il coordinatore scientifico,coordinator
il coordintore,coordinator
il cordinatore,contributor
il correlatore,co-supervisor
il cotutor,co-tutor
il cotutore,co-tutor
il decano del collegiodei docenti,professor
il direttore della scuola,program director
il direttore della scuola di dottorato,program director
il direttore di ricerca,research director
il docente coordinatore,coordinator
il docente guida,supervisor
il docente tutore,tutor
il dottorando,phd student
il dottorando di ricerca,phd student
il presidente,president
il presidente del corso,president
il presidente del corso di dottorato,president
il presidente della scuola di dottorato,president
il referente,referent
il referente scientifico,lead researcher
il relatore,supervisor
il supervisore,supervisor
il supervisore della ricerca,supervisor
il tutor,tutor
il tutor del dottorando,tutor
il tutore,tutor
il tutore e coordinatore del dottorato,coordinator
in collaboration with,contributor
in collaborazione con,contributor
in testa al front.,header info
industrial co-tutor,co-tutor
industrial relator,supervisor
industrial supervisor,supervisor
industrial supervisor stmicroelectronics,supervisor
industrial tutor,company tutor
internal advisor,advisor
internal advisors,advisor
internal co-supervisor,co-supervisor
internal cosupervisor,co-supervisor
internal examiner,examiner
internal relator,internal supervisor
internal supervisor,supervisor
internal tutor,tutor
international advisor,advisor
international co-supervisor,co-supervisor
international referee,referee
international referees,referee
international rewiers,international reviewer
international scientific tutor,tutor
international supervisor,internal supervisor
internetional referees,referee
internship tutor,tutor
istituto superiore mario boella,institution
italian advisor,advisor
italian director,contributor
italian principe adviser,advisor
italian scientific coordinator,coordinator
italian supervisor,supervisor
italian supervisors,supervisor
italian tutor,tutor
italian tutors,tutor
joint thesis advisor,advisor
juri,contributor
jury,committee member
jury = commissione = committee,committee member
jury de thèse,jury
jury members,committee member
kandidata,candidate
koordinator/coordinatore del ciclo,coordinator
la candidata,candidate
la commissione,committee
la coordinatrice,coordinator
la dottoranda,phd student
laboratory,contributor
laureanda,graduating student
lecturer,professor
leden promotiecommissie,committee member
lettore,contributor
lettrice,contributor
local supervisor,supervisor
main advisor,advisor
main co-supervisor,co-supervisor
main supervisor,supervisor
major advisor,advisor
member du jury,committee member
members of the dissertation committee,committee
members of the examination board,committee member
members of the final examination committee,committee member
membre du jury,committee member
membres du jury,jury
membres du jury/membri della giuria,committee member
membri commissione,committee member
membri della commissione esterni,external committee member
membri esterni,contributor
membri giuria,jury member
membro del collegio di dottorato,committee member
membro della commissione,committee member
membro interno,contributor
mentor,contributor
mentoring,contributor
mentors,contributor
national tutor,tutor
nome del coordinatore del dottorato,coordinator
nome del dottorando,phd student
nome del relatore,supervisor
nome del tutor,tutor
nome del tutore,tutor
not affiliated with the university,not affiliated with the university
novartis supervisors,supervisor
novartis v&d tutor,tutor
nvd supervisor,supervisor
opponent,referee
ordinatore,coordinator
orientador,contributor
orientadora,contributor
p. mancini. referee,referee
p.h. d. coordinator,coordinator
partner supervisors,supervisor
per il coordinatore il decano,coordinator
ph advisor,advisor
ph coordinator,coordinator
ph d candidate,candidate
ph d co-ordinator,coordinator
ph d coordinator,coordinator
ph d course coordinator,coordinator
ph d school supervisor,supervisor
ph d student,phd student
ph d supervisor,supervisor
ph d tutor,tutor
ph d. coordinator,coordinator
ph. coordinator,coordinator
ph. d candidate,candidate
ph. d coordinator,coordinator
ph. d student,phd student
ph. d. .coordinator,coordinator
ph. d. advisor,advisor
ph. d. advisors,advisor
ph. d. board director,program director
ph. d. candidate,candidate
ph. d. chief,contributor
ph. d. co-ordinator,coordinator
ph. d. co-tutor,co-tutor
ph. d. committee,committee
ph. d. coordinator,coordinator
ph. d. course chairman,program director
ph. d. course coordinator,coordinator
ph. d. course coordinators,coordinator
ph. d. course organizer,contributor
ph. d. director,program director
ph. d. director and supervisor,supervisor
ph. d. mentor,contributor
ph. d. panel,contributor
ph. d. philosophiae doctor thesis,phd
ph. d. program chairman,program director
ph. d. program coordinator,coordinator
ph. d. program director,program director
ph. d. program in management engineering,contributor
ph. d. program supervisor,supervisor
ph. d. programme coordinator,coordinator
ph. d. scholl director,program director
ph. d. school coordinator,coordinator
ph. d. school director,program director
ph. d. school head,program director
ph. d. student,phd student
ph. d. supervisor,supervisor
ph. d. supervisors,supervisor
ph. d. thesis by,thesis info
ph. d. thesis of,thesis info
ph. d. thesis work by,thesis info
ph. d. tutor,tutor
ph.d advisor,advisor
ph.d coordinator,coordinator
ph.d course coordinator,coordinator
ph.d course director,program director
ph.d program coordinator,coordinator
ph.d school director,program director
ph.d tutor,tutor
ph.d. activity coordinator,coordinator
ph.d. advisor,advisor
ph.d. bachelor,contributor
ph.d. candidate,candidate
ph.d. co-advisor,co-advisor
ph.d. coordinator,coordinator
ph.d. course co-ordinator,coordinator
ph.d. course coordinator,coordinator
ph.d. dean,contributor
ph.d. director,program director
ph.d. panel,contributor
ph.d. program coordinator,coordinator
ph.d. program director,program director
ph.d. program supervisor,supervisor
ph.d. programm coordinator,coordinator
ph.d. school coordinator,coordinator
ph.d. school director,program director
ph.d. school head,contributor
ph.d. schoolʼs director,program director
ph.d. student,phd student
ph.d. student.,phd student
ph.d. supervisor,supervisor
ph.d. supervisors,supervisor
ph.d. thesis supervisor,supervisor
ph.d. tutor,tutor
ph.d. tutors,tutor
ph.d.advisor,advisor
phd,phd
phd advisor,phd student
phd advisors,advisor
phd candidate,candidate
phd candidato,candidate
phd co-ordinator,coordinator
phd co-tutor,co-tutor
phd cooordinator,phd student
phd coordimator,phd student
phd coordinator,coordinator
phd coordinatore del corso,coordinator
phd course chairman,program director
phd course coordinator,coordinator
phd d. program coordinator,coordinator
phd dean,phd student
phd director,program director
phd director and coordinator,coordinator
phd external advisor,phd student
phd president,president
phd program chair,program director
phd program coordinator,coordinator
phd program director,program director
phd program supervisor,supervisor
phd programme director,program director
phd school coordinator,coordinator
phd school coordinator/director,coordinator
phd school director,program director
phd school director & coordinator,coordinator
phd school headmaster,program director
phd school master,phd student
phd school masters,phd student
phd student,phd student
phd supervisor,supervisor
phd supervisors,supervisor
phd thesis committee,committee
phd thesis school coordinator,coordinator
phd thesis tutor,tutor
phd tutor,tutor
phd tutor [del primo elaborato,tutor
phd tutor [del primo elaborato],tutor
phd-coordinator,coordinator
phd. coordinator,coordinator
phd. dean,phd student
phg. d. program coordinator,coordinator
pier luigi aminti (tutori scientifici,tutor
"politecnico di bari, facoltà di ingegneria, dipartimento di elettrotecnica ed elettronica",institution
politecnico di milano,institution
politecnico di torino,institution
presentata da,candidate
presentata dalla candidata,candidate
presentatore,contributor
presenting professor,professor
preside del corso,contributor
preside della scuola di dottorato,institution
president,president
president of doctoral programme,president
president of ph. d.,president
president of ph. d. course,president
president of ph.d. school,president
president of phd,president
president of the doctorate course,president
president of the doctorate school in chemistry,president
president of the jury,president
president of the ph.d. course,president
president of the phd course,president
president of the phd program,president
president of the phd program course,president
president of veterinary medicine phd school,president
presidente,president
presidente [del consiglio di dottorato,president
presidente [del consiglio di dottorato],president
presidente corso di dottorato,president
presidente d'indirizzo,president
presidente del collegio dei docenti,president
presidente del consiglio del corso di dottorato,president
presidente del consiglio di dottorato,president
presidente del corso,president
presidente del corso di dottorato,president
presidente del corso di dottorato di ricerca,president
presidente del corso di dottorato energetica elettrica e termica,president
presidente del dottorato,president
presidente del dottorato di ricerca,president
presidente del dottorato di ricerca in economia aziendale,president
presidente del dottorato di ricerca in neurobiologia e clinica dei disturbi affettivi,president
presidente del dottorato di ricerca in neurobliolgia e clinica dei disturbi affettivi,president
presidente del dottorato in scienze chimiche,president
presidente del programma,president
presidente del programma di dottorato,president
presidente del programma di dottorato in ingegneria energetica elettrica e termica,president
presidente del programma di economia aziendale,president
presidente del programma di letterature straniere moderne,president
presidente della commissione/président du jury,committee president
presidente della scuola,president
presidente della scuola di dottorato,president
presidente di indirizzo,president
presidente e direttore del corso,program director
presidents,president
presidents of the phd program,president
primary advisor,advisor
primary supervisor,supervisor
primo relatore,supervisor
primo supervisore,supervisor
primo tutor,tutor
primo tutore,tutor
principal adviser,advisor
principal advisor,advisor
principal advisors,advisor
principal supervisor,principal supervisor
principle tutor,tutor
prof,professor
prof. fouad el haj hassan co-supervisor,co-supervisor
profesioral advisors,advisor
professional advisors,professor
professioral advisors,professor
professor,professor
professore associato,associate professor
professore massimo levrero presso l'istituto di ricerca,professor
professore tutor,tutor
professorial advisor,advisor
professorial advisors,professorial advisor
program coordinator,coordinator
program director,program director
program of study committee,committee member
program of study coordinator,coordinator
programme coordinator,coordinator
promoter,promotor
promotor,promotor
promotor of ku leuven,contributor
promotor of università di pisa,institution
promotori,contributor
promotors,promotor
pré-rapporteurs esterni,external referee
président du jury,committee member
rapporteur,reporter
rapporteur de thèse,referee
rapporteurs,referee
rapporteurs = esaminatori = examiners,referee
rapporteurs/relatori,supervisor
reader,referee
realtore,supervisor
reatore,supervisor
reelatore,supervisor
refeee,referee
refeeres,reviewer
referee,referee
referee esterni,external referee
referee esterno,external referee
referees,referee
referente,referent
referente alla sorbonne,referent
referente anpa,referent
referente d'indirizzo,referent
referente del curriculum,program director
referente del curriculum di diritto commerciale,program director
referente del curriculum in diritto internazionale,program director
referente del curruculum,referent
referente e coordinatore,coordinator
referente esterno,referent
referente esterno per l'applicazione sperimentale,referent
referente estero,referent
referente internazionale,referent
referente progetto sperimentale,referent
referente scientifico,lead researcher
referenti,referent
referenti aziendali,referent
referenti interni,referent
referée,referee
reims. membre du jury,committee member
rel.,contributor
relarore,supervisor
relater,supervisor
relator,supervisor
relator and coordinator,coordinator
relatore,supervisor
relatore (cea-saclay),supervisor
relatore (politecnico di milano),supervisor
relatore (turor),supervisor
relatore (tutor),tutor
relatore (école polytecnique paris),supervisor
relatore 1.,supervisor
relatore 2.,supervisor
relatore = directeur de thèse,supervisor
relatore accademico,supervisor
relatore aggiunto,supervisor
relatore all'istec-cnr,supervisor
relatore aziendale,supervisor
relatore chiarissimo,supervisor
relatore co-tutela,supervisor
relatore del dottorando,supervisor
relatore della ricerca,supervisor
relatore della tesi,supervisor
relatore di tesi,supervisor
relatore dottorato di ricerca,supervisor
relatore e coordinatore,supervisor
relatore e coordinatore del corso,coordinator
relatore e coordinatore del corso di dottorato,coordinator
relatore e coordinatore del dottorato,coordinator
relatore e coordinatore del dottorato per l'istituto italiano di scienze umane,coordinator
relatore e relatore,supervisor
relatore e tutor,tutor
relatore e tutore,tutor
relatore esterno,supervisor
relatore francese,supervisor
relatore francese (tutor),tutor
relatore i. e. coordinatore,supervisor
relatore in co-tutela,supervisor
relatore internazionale,internal supervisor
relatore interno,internal supervisor
relatore italiano,supervisor
relatore italiano (tutor),tutor
relatore italiano tutor,tutor
relatore per l'università di potsdam,supervisor
relatore tedesco tutor,tutor
relatore tesi di dottorato,supervisor
relatore tutor,tutor
relatore universitario,supervisor
relatore università di bielefeld,supervisor
relatore università di pisa,supervisor
relatore-supervisore,supervisor
relatore-tutor,tutor
relatore/cotutor,co-tutor
relatore/supervisor,supervisor
relatore/tutor,tutor
relatore/tutore,supervisor
relatores,supervisor
relatori,supervisor
relatori (tutors),tutor
relatori = directeurs de thèse,supervisor
relatori = thése dirigé par,supervisor
relatori = tutors,tutor
relatori del candidato,supervisor
relatori della tesi di dottorato,supervisor
relatori di tesi,supervisor
relatori esterni,external supervisor
relatori i chiarissimi professori,supervisor
relatori interni,internal supervisor
relatori scientifici internazionali,internal supervisor
"relatori, directores de tesis",supervisor
relatori-supervisors,supervisor
relatori/directeurs de recherche,supervisor
relatori/directeurs de thèse,supervisor
relatori/rapporteurs,supervisor
relatori/supervisors,supervisor
relators,supervisor
relatrice,supervisor
relatrice della tesi,thesis info
relatrici,supervisor
reporters,reporter
research advisor,advisor
research doctor's thesis,thesis info
research doctorate program coordinator,coordinator
research head & co-tutor thesis advisor,tutor
research supervisor,supervisor
research supervisors,supervisor
research tutor,tutor
responsabile,program director
responsabile aziendale,program director
responsabile del dottorato,program director
responsabile del laboratorio,program director
responsabile del progetto,program director
responsabile del progetto e tutor,tutor
responsabile della ricerca,research director
responsabile della scuola di dottorato,program director
responsabile della tesi,program director
responsabile di indirizzo,program director
responsabile di ricerca,research director
responsabile dottorati,program director
responsabile dottorato di ricerca,research director
responsabile e coordinatore del dottorato,coordinator
responsabile per la sede di pavia,program director
responsabile scientifico,program director
responsabile scientifico (tutor),tutor
responsabile scientifico inail,program director
responsabile scientifico/supervisor,supervisor
responsabile sede consorziata,program director
responsabili della ricerca,contributor
responsabili di tesi,contributor
responsabili scientifici,contributor
responsable de l'école doctorale,contributor
responsable de la formation doctorale,contributor
revesore,reviewer
reviewed by,contributor
reviewer,reviewer
reviewer of dissertation,referee
reviewers,reviewer
revisor,contributor
revisore,referee
revisore della tesi,referee
revisore esterno,external referee
revisori,reviewer
revisori esterni,external reviewer
revisori esterni della tesi,thesis info
reviwers,reviewer
rewiewer,reviewer
riccardo butini co-tutor,co-tutor
ricerca svolta presso,contributor
ricercatore di supporto,support researcher
ricercatore guida,lead researcher
ricercatori di supporto,contributor
référee,referee
school coordinator,coordinator
school director,program director
school director-coordinator,coordinator
school head,program director
school reporter,institution
scientific adviser,advisor
scientific advisor,advisor
scientific co-tutor,co-tutor
scientific committee,committee member
scientific cotutors,co-tutor
scientific director,program director
scientific refees,scientific referee
scientific referees,referee
scientific supervisor,supervisor
scientific supervisors,supervisor
scientific tutor,tutor
scientific tutors,tutor
second dos,program director
second reader,referee
second referee,referee
second revisor,contributor
second supervisor,supervisor
second supervisors,supervisor
"seconda università degli studi di napoli, facoltà di medicina e chirurgia, istituto di medicina legale e delle assicurazioni (dir",institution
secondo coordinatore,coordinator
secondo docente tutor,tutor
secondo relatore,supervisor
secondo supervisore,supervisor
secondo tutor,tutor
secondo tutore,tutor
secondo tutore e coordinatore del dottorato,coordinator
sede,institution
sede aministrativa,institution
sede amministrativa,institution
sede amministrativa (università di origine),institution
sede amministrativa del dottorato,institution
sede amministrativa dottorato,institution
sede amministtrativa,institution
sede ammistrativa,institution
sede ammministrativa,institution
sede ammnistrativa,institution
sede associata,institution
sede consociata,institution
sede consorziarta,institution
sede consorziata,institution
sede consorziata di catania responsabile,institution
sede consorziata e di esame,institution
sede consorziate,consortium institution
sede cosorziata,institution
sede dell'attività di ricerca,institution
sede dipartimentale di riferimento,reference department
sede mministrativa,institution
sede operativa,institution
sede principale,institution
sedi consorziate,institution
sedi convenzionate,institution
sedi cosorziate,institution
sedi dell'attività di ricerca,institution
sedi universitarie consorziate,institution
segretario,committee coordinator
sektionschef,section manager
senior supervisor,supervisor
sezione amministrativa,contributor
signature from head of ph. d. committee,program director
sostenue le 18 octobre 2010 devant la commission d'examen,contributor
sous la direction de,program director
sponsoring establishment,contributor
sponsoring institution,contributor
stefano bertocci cotutor,co-tutor
storch hans,contributor
student,phd student
studente,phd student
submitted to,contributor
super visor,supervisor
superisor,supervisor
superviors,supervisor
superviosre,supervisor
supervised,supervisor
supervised by,supervisor
superviser/relatore,supervisor
superviseurs,supervisor
supervising professor,supervisor
supervision,supervisor
supervisione,supervisor
supervisior,supervisor
supervisiore,supervisor
supervisoe,supervisor
supervisor,supervisor
supervisor (tutor),tutor
supervisor alla uc berkeley,supervisor
supervisor and coordinator,coordinator
supervisor and ph.d. school coordinator,coordinator
supervisor at host laboratory,supervisor
supervisor by,supervisor
supervisor chief,supervisor
supervisor e coordinatore,coordinator
supervisor e cordinatore,supervisor
supervisor e tutor,tutor
supervisor esterno,external supervisor
supervisor external,external supervisor
supervisor of dissertation,supervisor
supervisor of doctoral program,supervisor
supervisor of laboratory activity,supervisor
supervisor of the doctoral program,supervisor
supervisor of the ph. d. program,supervisor
supervisor of the ph. d. programme,supervisor
supervisor of the ph.d. program,supervisor
supervisor of the phd program,supervisor
supervisor of the thesis,supervisor
supervisor s,supervisor
supervisor/tutor,tutor
supervisor[s],supervisor
supervisore,supervisor
supervisore (esterno),supervisor
supervisore (interno),supervisor
supervisore (tutore),tutor
supervisore 2000-2004,supervisor
supervisore afferente all'ateneo,supervisor
supervisore al università degli studi della calabria,supervisor
supervisore al école polytechinique fédérale de lausanne,supervisor
supervisore all'estero (germania),supervisor
supervisore del progetto,supervisor
supervisore del progetto di ricerca,supervisor
supervisore della tesi,supervisor
supervisore di tesi,supervisor
supervisore e coordinatore,coordinator
supervisore e tutor ub,tutor
supervisore e tutor unimi,tutor
supervisore esterno,external supervisor
supervisore estero,supervisor
supervisore interno,internal supervisor
supervisore italiano,supervisor
supervisore nella sede amministrativa,supervisor
supervisore nella sede di co-tutela,supervisor
supervisore non afferente all'ateneo,supervisor not affiliated with the university
supervisore scientifico della tesi di doctorat en sciences économiques,supervisor
supervisore scientifico della tesi di dottorato in economia politica,supervisor
supervisore tedesco,supervisor
supervisore università di francoforte sul meno,supervisor
supervisore università di padova,supervisor
supervisore/coordinatore,coordinator
supervisore/relatore,supervisor
supervisore/tutor,tutor
supervisori,supervisor
supervisori 2004-2005,supervisor
supervisori aziendali,supervisor
supervisori della tesi,supervisor
supervisori di tesi,supervisor
supervisori esterni,external supervisor
supervisori per gli aspetti illuminotecnici,supervisor
supervisors,supervisor
supervisors (e tutors),tutor
supervisors in danimarca,supervisor
supervisors in ge,supervisor
supervisors of the phd thesis,supervisor
supervisory,supervisor
supervisory tutor,tutor
supervisr,supervisor
supevisore,supervisor
supevisors,supervisor
suprvisor,supervisor
suprvisore,supervisor
svolta presso,contributor
swiss supervisor,supervisor
technical stage tutor,tutor
terzo docente tutor,tutor
terzo relatore,supervisor
terzo tutor,tutor
tesi del dott.,thesis info
tesi del dottorando,phd student
tesi della dott.ssa,thesis info
tesi della dottoranda,phd student
tesi di,thesis info
tesi di dottorato,thesis info
tesi di dottorato del,thesis info
tesi di dottorato del dott.,thesis info
tesi di dottorato del dr.,thesis info
tesi di dottorato della dott.ssa,thesis info
tesi di dottorato della dr.ssa,thesis info
tesi di dottorato di,thesis info
tesi di dottorato di ricerca,thesis info
tesi di dottorato di ricerca del dott.,thesis info
tesi di dottorato di ricerca del dr,thesis info
tesi di dottorato di ricerca di,thesis info
tesi di dottorato presentata da,thesis info
